From	Entry	Transmembrane	Transit peptide	Gene Ontology (cellular component)
Q6P050	Q6P050			cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]; Z disc [GO:0030018]
Q9UTG6	Q9UTG6			cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9CZS3	Q9CZS3			centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; motile cilium [GO:0031514]; nucleoplasm [GO:0005654]
O43524	O43524			chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]
Q8W035	Q8W035			cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q14331	Q14331			Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; striated muscle dense body [GO:0055120]; Z disc [GO:0030018]
P42685	P42685			azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; specific granule lumen [GO:0035580]
Q9UTP3	Q9UTP3			cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule [GO:0005874]; Mis6-Sim4 complex [GO:0031511]; nucleus [GO:0005634]; spindle pole body [GO:0005816]
Q42545	Q42545		"TRANSIT 1..66; /note=""Chloroplast""; /evidence=""ECO:0007744|PubMed:22223895"""	cell division site [GO:0032153]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; contractile ring [GO:0070938]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; plastid [GO:0009536]
Q8N1E6	Q8N1E6			cytoplasm [GO:0005737]; cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]
Q06179	Q06179		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
P32785	P32785		"TRANSIT 1..26; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
A2RVV7	A2RVV7		"TRANSIT 1..23; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q9P7X3	Q9P7X3			catalytic step 2 spliceosome [GO:0071013]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q86XJ1	Q86XJ1			actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]
P24522	P24522			cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q6YWF1	Q6YWF1			cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P14234	P14234			aggresome [GO:0016235]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]
Q2V2M9	Q2V2M9			cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Z disc [GO:0030018]
Q9LT47	Q9LT47			chromatin silencing complex [GO:0005677]; ESC/E(Z) complex [GO:0035098]; polar nucleus [GO:0043078]
O74191	O74191			chromatin [GO:0000785]; nucleolus [GO:0005730]
O14276	O14276			nucleolus [GO:0005730]
Q920R4	Q920R4			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q8K3Q3	Q8K3Q3			nucleus [GO:0005634]
Q95V55	Q95V55			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q9H334	Q9H334			chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9ZR07	Q9ZR07		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q07540	Q07540		"TRANSIT 1..21; /note=""Mitochondrion""; /evidence=""ECO:0000305"""	iron-sulfur cluster assembly complex [GO:1990229]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q5SYB0	Q5SYB0			cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q9UQC2	Q9UQC2			cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q15007	Q15007			cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]
P36141	P36141		"TRANSIT 1..21; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
O16850	O16850			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
F4J2K2	F4J2K2			cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
O95684	O95684			cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q96NE9	Q96NE9			apical junction complex [GO:0043296]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]
Q3EBQ3	Q3EBQ3			nucleus [GO:0005634]
Q9ZVC9	Q9ZVC9			nucleus [GO:0005634]; plasmodesma [GO:0009506]
Q9S793	Q9S793			nucleus [GO:0005634]
Q8VZS9	Q8VZS9			anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
O36024	O36024			kinetochore [GO:0000776]; microtubule [GO:0005874]; Mis6-Sim4 complex [GO:0031511]; nucleus [GO:0005634]
P40099	P40099			mitochondrion [GO:0005739]
Q68CZ1	Q68CZ1			axonemal microtubule [GO:0005879]; axoneme [GO:0005930]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary rootlet [GO:0035253]; ciliary transition zone [GO:0035869]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; photoreceptor connecting cilium [GO:0032391]; plasma membrane [GO:0005886]
Q9GPZ7	Q9GPZ7			cell division site [GO:0032153]; cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]
Q12247	Q12247			nucleolus [GO:0005730]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]
Q8GVZ6	Q8GVZ6			nucleus [GO:0005634]
P33893	P33893			glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
Q9FWR5	Q9FWR5		"TRANSIT 1..43; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; respiratory chain complex I [GO:0045271]
P15442	P15442			cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; large ribosomal subunit [GO:0015934]; polysomal ribosome [GO:0042788]; small ribosomal subunit [GO:0015935]
Q96RT7	Q96RT7			centrosome [GO:0005813]; cytosol [GO:0005829]; equatorial microtubule organizing center [GO:0000923]; gamma-tubulin complex [GO:0000930]; gamma-tubulin large complex [GO:0000931]; gamma-tubulin small complex [GO:0008275]; membrane [GO:0016020]; microtubule [GO:0005874]; spindle pole [GO:0000922]
O46567	O46567			cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; spindle [GO:0005819]
Q9SY66	Q9SY66			nucleus [GO:0005634]
Q8N4E7	Q8N4E7		"TRANSIT 1..49; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
O74972	O74972		"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
Q7L622	Q7L622			cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q9W3Y4	Q9W3Y4			actin filament [GO:0005884]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]
Q04739	Q04739			cytoplasm [GO:0005737]; nuclear envelope lumen [GO:0005641]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]
F4JV80	F4JV80		"TRANSIT 1..52; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000269|PubMed:25862457"""	chloroplast [GO:0009507]; glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
O43716	O43716			glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
Q8WUU5	Q8WUU5			nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q84P53	Q84P53			cytoplasm [GO:0005737]
Q8SY33	Q8SY33			cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; P-body [GO:0000932]; RISC complex [GO:0016442]
P62879	P62879			cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; heterotrimeric G-protein complex [GO:0005834]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]
Q9HDV9	Q9HDV9		"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; glycine cleavage complex [GO:0005960]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
O80988	O80988		"TRANSIT 1..72; /note=""Mitochondrion""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; cytosol [GO:0005829]; glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; vacuole [GO:0005773]
P38812	P38812			extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P30047	P30047			cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; melanosome [GO:0042470]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9LR30	Q9LR30			apoplast [GO:0048046]; chloroplast [GO:0009507]; cytosol [GO:0005829]; nucleus [GO:0005634]; peroxisome [GO:0005777]; plant-type vacuole [GO:0000325]
P38783	P38783		"TRANSIT 1..27; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
Q8CA72	Q8CA72			Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]
Q94CE5	Q94CE5		"TRANSIT 1..18; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; plant-type vacuole [GO:0000325]
Q9SMN1	Q9SMN1		"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytosol [GO:0005829]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; plant-type vacuole [GO:0000325]; respiratory chain complex I [GO:0045271]
Q06625	Q06625			cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P39993	P39993			cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; Golgi cis cisterna [GO:0000137]
Q09733	Q09733			cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; medial cortical node [GO:0071341]; mitotic actomyosin contractile ring [GO:0110085]; mitotic actomyosin contractile ring, intermediate layer [GO:0120105]; mitotic spindle pole body [GO:0044732]
Q9VVX0	Q9VVX0			cytoplasmic U snRNP body [GO:0071254]; nucleus [GO:0005634]; SmD-containing SMN-Sm protein complex [GO:0034730]; SMN complex [GO:0032797]; SMN-Gemin2 complex [GO:0034718]; spliceosomal complex [GO:0005681]
Q9H840	Q9H840			cytoplasm [GO:0005737]; cytosol [GO:0005829]; Gemini of coiled bodies [GO:0097504]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; Sm-like protein family complex [GO:0120114]; SMN complex [GO:0032797]; SMN-Sm protein complex [GO:0034719]
P55163	P55163			cell junction [GO:0030054]; SCAR complex [GO:0031209]
Q9P7R5	Q9P7R5			cytosol [GO:0005829]; equatorial microtubule organizing center [GO:0000923]; gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874]; mitotic spindle pole body [GO:0044732]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q9M0A7	Q9M0A7			cytosol [GO:0005829]; plasma membrane [GO:0005886]; secretory vesicle [GO:0099503]
Q9LUD9	Q9LUD9		"TRANSIT 1..39; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]
P27469	P27469			lipid droplet [GO:0005811]; mitochondrion [GO:0005739]
Q8H103	Q8H103		"TRANSIT 1..48; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plastid [GO:0009536]
A6NHX0	A6NHX0			cytosol [GO:0005829]
Q84P54	Q84P54		"TRANSIT 1..57; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
P97265	P97265			cytosol [GO:0005829]
P49177	P49177			Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; heterotrimeric G-protein complex [GO:0005834]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9SJU9	Q9SJU9		"TRANSIT 1..37; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast inner membrane [GO:0009706]; plastid [GO:0009536]
P33892	P33892			cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]
Q9C104	Q9C104			cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q8TEQ6	Q8TEQ6			cytoplasm [GO:0005737]; cytosol [GO:0005829]; Gemini of coiled bodies [GO:0097504]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SMN complex [GO:0032797]; SMN-Gemin2 complex [GO:0034718]; SMN-Sm protein complex [GO:0034719]
Q03555	Q03555			anchored component of synaptic membrane [GO:0099144]; anchoring junction [GO:0070161]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendrite [GO:0030425]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; GABA-ergic synapse [GO:0098982]; glycinergic synapse [GO:0098690]; inhibitory synapse [GO:0060077]; neuronal cell body [GO:0043025]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; postsynaptic specialization [GO:0099572]; postsynaptic specialization membrane [GO:0099634]; postsynaptic specialization, intracellular component [GO:0099091]; synapse [GO:0045202]; synaptic membrane [GO:0097060]
Q8GWW8	Q8GWW8		"TRANSIT 1..89; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q8RWE8	Q8RWE8			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P28007	P28007			box H/ACA snoRNP complex [GO:0031429]; nucleolus [GO:0005730]
Q8WXD5	Q8WXD5			cytoplasm [GO:0005737]; cytosol [GO:0005829]; Gemini of coiled bodies [GO:0097504]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; SMN complex [GO:0032797]; SMN-Sm protein complex [GO:0034719]
P34802	P34802		"TRANSIT 1..51; /note=""Chloroplast""; /evidence=""ECO:0007744|PubMed:22223895"""	chloroplast [GO:0009507]; cytosol [GO:0005829]; etioplast [GO:0009513]; plastid [GO:0009536]
P34689	P34689			cytoplasm [GO:0005737]; nucleus [GO:0005634]; P granule [GO:0043186]; perinuclear region of cytoplasm [GO:0048471]
Q9M350	Q9M350			cytoplasm [GO:0005737]; equatorial microtubule organizing center [GO:0000923]; gamma-tubulin complex [GO:0000930]; microtubule [GO:0005874]; plasmodesma [GO:0009506]; spindle [GO:0005819]; spindle pole [GO:0000922]; tubulin complex [GO:0045298]
Q7XJ96	Q7XJ96			9+2 motile cilium [GO:0097729]; axoneme [GO:0005930]; microtubule [GO:0005874]
Q9H0R6	Q9H0R6			glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]
P35573	P35573			cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; inclusion body [GO:0016234]; isoamylase complex [GO:0043033]; nucleus [GO:0005634]; sarcoplasmic reticulum [GO:0016529]; secretory granule lumen [GO:0034774]
Q9USN5	Q9USN5			cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q32NR9	Q32NR9			axoneme [GO:0005930]; plasma membrane [GO:0005886]
Q9SSQ4	Q9SSQ4			nucleus [GO:0005634]
Q14397	Q14397			cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
A3C6G9	A3C6G9		"TRANSIT 1..34; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:14681440"""	cytoplasm [GO:0005737]; glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]
Q02979	Q02979			cytoplasm [GO:0005737]
Q09785	Q09785		"TRANSIT 1..49; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	glycine cleavage complex [GO:0005960]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
A4FVR1	A4FVR1			nucleus [GO:0005634]
O13702	O13702			mitochondrion [GO:0005739]
Q93YV0	Q93YV0			cytoplasm [GO:0005737]
O22043	O22043		"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""	mitochondrion [GO:0005739]
Q12315	Q12315			cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]
Q61602	Q61602			axoneme [GO:0005930]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; GLI-SUFU complex [GO:1990788]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]
Q9SGA2	Q9SGA2		"TRANSIT 1..53; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; plastid [GO:0009536]
O59679	O59679			cell division site [GO:0032153]; cytosol [GO:0005829]; medial cortex septin ring [GO:0036391]
Q8IS21	Q8IS21			cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
D3YN49	D3YN49			nucleus [GO:0005634]
O23647	O23647		"TRANSIT 1..37; /note=""Chloroplast""; /evidence=""ECO:0000255"""	amyloplast [GO:0009501]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]
Q0VGT2	Q0VGT2			axoneme [GO:0005930]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; GLI-SUFU complex [GO:1990788]; membrane [GO:0016020]; motile cilium [GO:0031514]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9ZST4	Q9ZST4		"TRANSIT 1..61; /note=""Chloroplast""; /evidence=""ECO:0000255"""	chloroplast [GO:0009507]; chloroplast thylakoid [GO:0009534]; cytosol [GO:0005829]; plastid [GO:0009536]
Q9VD44	Q9VD44			cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]
G5EFL0	G5EFL0			cytoplasm [GO:0005737]; nucleolus [GO:0005730]; P granule [GO:0043186]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; TRAMP complex [GO:0031499]
Q0WPZ7	Q0WPZ7			cytoplasm [GO:0005737]; nuclear envelope [GO:0005635]; nuclear pore cytoplasmic filaments [GO:0044614]
O94652	O94652			cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; nucleus [GO:0005634]
Q43127	Q43127		"TRANSIT 1..45; /note=""Chloroplast and mitochondrion""; /evidence=""ECO:0000255"""	apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; cytoplasm [GO:0005737]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; plastid [GO:0009536]; thylakoid [GO:0009579]
Q10CE4	Q10CE4			peroxisome [GO:0005777]
Q9LU39	Q9LU39		"TRANSIT 1..42; /note=""Chloroplast""; /evidence=""ECO:0000305"""	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; chloroplast thylakoid [GO:0009534]; protein-containing complex [GO:0032991]
P25157	P25157			brush border membrane [GO:0031526]; cytoplasm [GO:0005737]; heterotrimeric G-protein complex [GO:0005834]; plasma membrane [GO:0005886]
